pond cross id treatment sex sl bd region size resid
wild ben 6 wild F 5.773233918 NA cere_size 76.063749695165 -11.71103139681
wild ben 8 wild F 5.637868852 NA cere_size 82.8883654659531 -11.0505053975253
wild ben 9 wild F 6.335516084 NA cere_size 91.1352549274055 -1.14166770308154
wild ben 10 wild F 6.385271776 NA cere_size 83.3510614557556 -20.9852575563309
wild ben 11 wild M 5.271157576 NA cere_size 78.8209039089295 -1.88151359052177
wild ben 12 wild M 4.632543426 NA cere_size 80.0797224554008 6.17997937881711
wild ben 13 wild M 7.328276042 NA cere_size 98.6881079565917 3.13827027204685
wild ben 14 wild M 6.638488506 NA cere_size 88.0531892316678 16.3135764128827
wild ben 15 wild M 4.925301075 NA cere_size 58.5455331624092 -0.623429422600107
wild ben 11 wild F 6.497584906 NA cere_size 69.7804245240319 -11.0425143438743
wild ben 12 wild F 5.906647059 NA cere_size 79.1417613638504 -10.4190871039449
wild ben 13 wild F 5.346025418 NA cere_size 68.8947058750022 -11.7010098661782
wild ben 14 wild F 5.086246493 NA cere_size 53.2520295837872 -19.9644151738518
wild ben 5 wild M 5.310410318 NA cere_size 70.9776761931371 6.35539831974169
wild ben 4 wild M 5.577535981 NA cere_size 64.746537265458 -0.200200676156074
wild ben 3 wild M 5.258956989 NA cere_size 85.8326674768266 16.2103817516503
wild ben 2 wild M 4.951081581 NA cere_size 89.8714857758816 24.6374152501112
wild ben 1 wild M 5.202161111 NA cere_size 82.9147152361144 22.9680059081126
wild lim 10 wild M 3.925218533 NA cere_size 67.2047761995166 -2.15717694800046
wild lim 9 wild M 4.399894459 NA cere_size 60.4669507722332 -2.88728665543071
wild lim 8 wild M 4.37239373 NA cere_size 65.5617384240214 23.4860435585043
wild lim 6 wild M 4.384529004 NA cere_size 68.9712275446663 6.4882195738911
wild lim 5 wild M 4.57525136 NA cere_size 76.1938909308387 13.5628931237636
wild lim 4 wild M 4.436994527 NA cere_size 63.4721190858716 21.0979537657057
wild lim 3 wild M 4.122621434 NA cere_size 54.1953151313678 -6.82103343815196
wild lim 2 wild M 4.888989418 NA cere_size 67.8304628126159 1.21392659822514
wild lim 1 wild M 4.193264706 NA cere_size 63.4384889768172 -3.35501645491432
wild lim 10 wild F 4.086905595 NA cere_size 44.6031680636191 -10.3123698061886
wild lim 9 wild F 4.42434314 NA cere_size 53.8401705373345 2.14542929977683
wild lim 7 wild F 2.863013072 NA cere_size 47.9465719584409 15.6967428615962
wild lim 6 wild F 3.784634463 NA cere_size 47.7401724727021 -10.673827273552
wild lim 3 wild F 3.440630634 NA cere_size 52.7361757140872 -7.15925094917695
wild lim 2 wild F 3.644750245 NA cere_size 26.8849859661936 -0.71648067420206
wild lim 1 wild F 3.393561003 NA cere_size 40.6654868555313 -13.9426463568467
