pond	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	treatment	sl	bd
6	64	64	24.021	26.019	28	94.191	76.026	154.003	138.014	92.049	NP	44.26	9.49
6	69	69	24	27.074	30.083	99.609	72.443	140.293	122.483	80.399	NP	37.53	7.06
6	72	72	23	23.345	23.77	91.679	62.586	128.456	115.317	80.306	NP	35.74	7.47
6	73	73	24.021	28.071	28	81.302	62.073	128.062	110.223	86.093	NP	36.73	7.29
6	75	75	22.204	17.117	20.224	75	50.16	106.005	101.178	60.407	NP	28.91	6.07
6	76	76	24	36.674	38.079	111.288	94.112	159.201	152.643	97.494	NP	35.24	7.1
6	77	77	24.021	35.014	35	106.301	83.295	158.079	144.679	98.005	NP	42.91	8.68
6	91	91	24.021	34.015	28	91.005	68.007	140.698	121.198	83.024	NP	37.53	7.42
6	92	92	24	20	23.022	99.045	81.222	152.473	128.098	89.022	NP	42.89	8.22
6	94	94	27.019	24	24.021	97.739	79.762	153.222	123.968	91.049	NP	42	8.61
6	95	95	26.019	29.017	23.087	79	58	123.065	101.178	71.344	NP	34.06	7.02
6	97	97	24.021	30.017	32.062	96.876	70.711	155.158	132.136	96.005	NP	43.39	8.19
6	98	98	24.021	25	23.022	68.264	57.079	129.035	109.225	79.158	NP	35.95	7.03
6	99	99	24	28.071	26.926	102.24	74.431	140.228	124.68	76.164	NP	39.34	7.7
6	100	100	24.021	28.16	27.459	84.853	67.268	145.671	120.814	83.546	NP	39.78	7.61
7	65	65	24	31	29.017	78.058	62.008	122.102	97.417	82.006	P	35.27	6.86
7	66	66	24	21	20.025	87.023	50.01	139.703	106.231	67.007	P	43.89	8.9
7	67	67	24.021	30.017	26.077	90.2	67.476	156.16	137.186	92.049	P	41.6	8.54
7	68	68	24	31.575	21.84	83.199	56.648	137.612	117.201	83.361	P	40.67	8.29
7	69	69	25	25.08	23.409	103.325	75.69	148.476	125.172	93.215	P	43.51	8.52
7	70	70	24.021	32	31.016	103.019	71.007	156.205	132.136	98.02	P	44.67	9.81
7	71	71	25	23.345	23.409	91.679	64.846	138.246	113.547	84.012	P	36.16	7.09
7	74	74	28.018	32.016	29	81.302	63.127	141.004	123.329	78.026	P	41.23	7.92
7	75	75	26	38	33.015	101.316	75.166	154.117	130.311	98.127	P	47	9.55
7	83	83	24	32.558	33.242	84.404	62.968	134.618	117.324	88.142	P	38.06	7.45
7	84	84	24	25.02	28.018	99.02	71.028	155.013	125	80.006	P	42.17	8.37
7	85	85	25.02	27	27	110.005	79.006	164.149	145.169	95.005	P	45.45	9.07
7	93	93	24	31.575	28.16	87.476	63.891	140.812	121.565	84.012	P	39.14	7.9
7	94	94	23	35	26.019	75.027	58.034	120.017	114.004	72	P	37.67	7.24
7	95	95	26	34	31.016	83.006	67.119	131.015	119.004	84.054	P	40.19	7.85
7	96	96	24.021	30.067	27.459	104.69	70.114	155.425	128.32	97.329	P	43.85	9.27
7	97	97	25.02	34.059	24.739	86.885	62.37	125.936	113.952	84.172	P	38.84	7.47
7	98	98	25	31.575	24.083	82.006	67.007	137.033	125.1	87.052	P	39.64	7.93
7	99	99	24	31.016	32.016	98.615	77.414	169.358	133.004	98.509	P	51.05	10.19
8	51	51	27.019	26.476	24.698	66.219	44.911	112.361	92.612	74.953	NP	30.37	5.6
8	52	52	26.019	32	31.064	93.134	63.071	129.314	125.196	88	NP	36.1	6.56
8	58	58	25.02	39.205	26.926	73.824	57.489	127.318	114.425	78.16	NP	37.42	7.8
8	63	63	24.021	31.145	25	75.06	56.009	123.004	102.02	65.031	NP	35.71	6.43
8	64	64	23	33.015	24.739	77.162	51.624	109.005	102.176	67.03	NP	32.1	5.64
8	66	66	25.02	27	27.074	75.007	54.745	117.614	110.164	80.225	NP	32.58	6.14
8	69	69	29.017	42.953	32.894	95.079	67.897	141.014	133.645	92.779	NP	37.47	7.3
8	73	73	27	33.106	33.838	101.237	67.231	147.719	137.884	96.385	NP	41.37	7.95
8	74	74	28	25.08	21	73.062	51.039	117.017	96.005	64	NP	31.37	5.88
8	75	75	25.02	28.16	28.018	85.094	54.083	123.037	107.019	70.029	NP	32.02	6.36
8	83	83	26.019	26.077	25.02	101	76.007	157	139.176	93.005	NP	40.91	7.62
8	84	84	23.022	30.414	28.16	86.145	64.133	132.639	119.821	79.511	NP	35.25	7.45
8	86	86	23	36.014	28.018	99.005	72.062	153.013	139.032	90.089	NP	37.69	7.33
8	87	87	26	38.053	33.061	102.005	78	153.16	135.237	106.005	NP	40.69	7.51
8	90	90	25.02	34	32.14	110.368	79.025	164.195	136.62	98.326	NP	40.23	7.7
8	91	91	26.077	39.051	35.511	102.489	76.105	164.076	141.227	98.005	NP	43.72	8.75
8	92	92	25.02	33	28.284	101.02	71	151.053	130.096	86.006	NP	39.09	7.34
8	93	93	24.083	37.054	34.234	103.484	73.553	149.753	125.603	87.092	NP	37.65	6.92
8	96	96	26.019	31.401	30.15	100.319	67.897	149.121	128.004	93.536	NP	40.04	7.44
8	97	97	25.02	39.013	31.064	101.4	71.344	156.32	131.643	88.814	NP	40.54	7.89
