pond family id treatment sex sl region size
9 1 16 NP M 49.8 tele_size 64.0673296236307
9 1 3 NP M 56.38 tele_size 58.8072648393276
9 1 4 NP F 62.56 tele_size 65.9992340616946
9 1 6 NP F 54.85 tele_size 75.521484140695
9 1 7 NP M 56.7 tele_size 89.0741259257831
9 1 8 NP F 53.54 tele_size 79.7991536130483
9 1 9 NP M 50.63 tele_size 82.29326415154
9 2 10 NP M 58.86 tele_size 85.6545438707536
9 2 13 NP M 69.35 tele_size 68.1646584038424
9 2 14 NP M 71.19 tele_size 79.6365352128182
9 2 15 NP F 64.5 tele_size 82.5605347830223
9 2 16 NP F 68.6 tele_size 54.9473087833642
9 2 17 NP F 52.1 tele_size 44.3029929801302
9 2 18 NP F 70.64 tele_size 78.2110282621364
9 2 182 NP NA NA tele_size 65.2826762583251
9 2 20 NP M 58.73 tele_size 76.6494696682414
9 2 21 NP M 58.63 tele_size 79.2636630904231
9 2 212 NP NA NA tele_size 60.9959801662693
9 2 3 NP F 60.41 tele_size 59.5936644501429
9 2 4 NP NA 57.55 tele_size 72.9806903429217
9 2 6 NP M 53.5 tele_size 69.5305579897098
9 2 7 NP F 61.96 tele_size 84.3574146925387
9 2 8 NP F 61.64 tele_size 85.2548960630851
9 2 9 NP M 58.27 tele_size 79.8542196120278
10 1 2 P F 63.3 optic_size 186.585667586948
10 1 3 P F 59.4 optic_size 179.976716219482
10 1 4 P M 57.5 optic_size 170.614879263488
10 1 5 P F 57.5 optic_size 185.459612505852
10 1 6 P F 61.8 optic_size 138.316215087485
10 2 1 P M 57.6 optic_size 187.994875001476
11 1 1 P M 55.9 optic_size 126.874185959117
11 1 10 P M 60.5 optic_size 166.967684436459
11 1 11 P M 56.4 optic_size 150.868730356495
11 1 13 P F 60.1 optic_size 141.998847145882
11 1 14 P F 49.5 optic_size 96.7816860887605
11 1 15 P F 48.2 optic_size 122.336970359625
11 1 17 P F 61.9 optic_size 129.604298864831
11 1 18 P M 51.5 optic_size 144.992342378432
11 1 19 P M 47.1 optic_size 130.93750192404
11 1 20 P M 50.3 optic_size 144.099893971612
11 1 22 P F 49 optic_size 124.032957421001
11 1 222 P NA NA optic_size 135.919714013959
11 1 3 P F 58.7 optic_size 215.597586334027
11 1 4 P M 58.8 optic_size 141.914647723196
