pond cross id treatment sex sl bd region size
7 6 98 P F 39.64 7.93 tele_size 27.6207621843186
7 6 99 P M 51.05 10.19 tele_size 41.6380014967818
8 4 51 NP M 30.37 5.6 tele_size 12.7981345987768
8 4 52 NP M 36.1 6.56 tele_size 27.2587943472316
8 4 58 NP M 37.42 7.8 tele_size 21.2989203346733
8 4 63 NP M 35.71 6.43 tele_size 22.88938294387
8 4 64 NP F 32.1 5.64 tele_size 23.6564366924176
8 4 66 NP M 32.58 6.14 tele_size 20.6073201262918
8 4 69 NP F 37.47 7.3 tele_size 24.0868520017793
8 4 73 NP M 41.37 7.95 tele_size 29.331291258659
8 4 74 NP F 31.37 5.88 tele_size 14.9426465254353
8 4 75 NP F 32.02 6.36 tele_size 23.0959044932938
8 4 83 NP F 40.91 7.62 tele_size 35.6240782032608
8 4 84 NP F 35.25 7.45 tele_size 32.7472929252165
8 4 86 NP F 37.69 7.33 tele_size 42.369919617665
8 4 87 NP F 40.69 7.51 tele_size 36.9759413803185
8 4 90 NP F 40.23 7.7 tele_size 43.7706442739817
8 4 91 NP M 43.72 8.75 tele_size 36.0350446624153
8 4 92 NP M 39.09 7.34 tele_size 35.9949002915342
8 4 93 NP F 37.65 6.92 tele_size 41.2289523801313
8 4 96 NP M 40.04 7.44 tele_size 31.6083954722679
8 4 97 NP F 40.54 7.89 tele_size 36.3053536843743
8 4 98 NP M 37.59 7.52 tele_size 32.8328502683251
9 7 51 NP F 34.14 6.82 tele_size 23.1605904566282
9 7 52 NP M 38.05 7.27 tele_size 24.0075341267058
9 7 55 NP M 34.64 6.68 tele_size 24.078350995277
9 7 57 NP M 32.8 6.88 tele_size 20.667932720762
9 7 76 NP M 36.2 7.35 tele_size 25.8360811046597
9 7 77 NP F 37.27 7.32 tele_size 28.3775898318347
9 7 78 NP F 52.4 10.38 tele_size 41.0035073672951
9 7 79 NP M 48 9.12 tele_size 38.0165848943834
9 7 80 NP M 50.79 10.02 tele_size 29.8703751500694
9 7 83 NP M 41.34 8.52 tele_size 34.5231701935106
9 7 87 NP F 54.05 11.37 tele_size 53.2860180269106
9 7 88 NP M 44.51 8.9 tele_size 33.6242131819876
9 7 89 NP M 47.66 10.01 tele_size 36.2058780463515
9 7 91 NP F 48.17 10.28 tele_size 36.0729118574345
9 7 92 NP F 60.53 13.18 tele_size 56.9161123470081
9 7 94 NP F 51.8 11.4 tele_size 49.8128245255103
9 7 95 NP F 55.24 11.47 tele_size 50.0888828178539
9 7 96 NP F 50.54 10.81 tele_size 39.8928277384945
9 7 98 NP F 35.26 7.18 tele_size 26.1502462717928
9 7 100 NP M 37.05 7.09 tele_size 23.2855302616769
10 4 79 P M 47.19 8.92 optic_size 114.883312394241
10 4 81 P M 37.48 7.22 optic_size 75.948340616847
10 4 82 P F 44.47 9.4 optic_size 117.013747175453
10 4 83 P F 44.95 8.51 optic_size 95.2601033934854
10 4 84 P F 36.91 7.93 optic_size 78.7882916167807
10 4 85 P M 38.08 7.53 optic_size 90.2764936918087
10 4 86 P M 34.77 7.29 optic_size 88.5605036930644
10 4 88 P M 43.34 8.29 optic_size 90.5976427341349
10 4 89 P F 32.37 6.44 optic_size 84.2391780856341
10 4 90 P F 37.25 7.65 optic_size 75.1960928294249
10 4 91 P M 35.26 7.38 optic_size 91.7477508221663
10 4 92 P M 39.25 7.53 optic_size 93.223141031582
10 4 94 P F 41.55 8.19 optic_size 97.5734567978689
10 4 95 P F 40.27 7.49 optic_size 106.624777811871
10 4 96 P M 37.81 7.86 optic_size 78.7576848903359
10 4 97 P M 36.1 6.82 optic_size 62.4950710644971
10 4 98 P F 36.78 7.33 optic_size 75.0245876353165
10 4 99 P F 44.55 9.37 optic_size 96.0842977738576
10 4 100 P F 42.66 8.85 optic_size 107.381463802314
11 1 58 P F 33.23 6.6 optic_size 71.1578707311314
11 1 62 P F 33.2 6.43 optic_size 65.9362140602223
11 1 66 P M 51.18 10.71 optic_size 67.8524897573132
11 1 76 P M 47.21 8.97 optic_size 97.4308317928932
11 1 77 P M 39.29 7.81 optic_size 101.581576929871
11 1 80 P M 51.64 10.55 optic_size 101.171095364718
11 1 87 P M 40.35 8.02 optic_size 89.4215551120229
11 1 88 P M 38.05 8.11 optic_size 62.591527784116
11 1 89 P M 34.13 7.13 optic_size 71.2053757617604
11 1 90 P F 37.76 7.95 optic_size 98.9678072963577
11 1 91 P F 36.61 6.88 optic_size 97.9060146701489
11 1 92 P F 39.82 8.7 optic_size 82.3258679117484
11 1 93 P F 47.84 11.2 optic_size 109.876567119157
11 1 94 P M 55.78 11.2 optic_size 129.081736861374
11 1 95 P F 35.22 7.07 optic_size 76.3473034145306
11 1 96 P M 47.48 9.57 optic_size 137.090728771822
11 1 97 P M 49.32 9.75 optic_size 106.726810510166
11 1 98 P F 45.15 9.46 optic_size 96.4297836249347
11 1 99 P F 37.39 7.57 optic_size 86.6175337270396
11 1 100 P F 37.1 7.82 optic_size 89.7249048148205
12 2 51 P F 37.13 7.16 optic_size 81.8111999493708
12 2 54 P F 38.63 7.69 optic_size 78.6668799155952
12 2 57 P F 46.46 9.56 optic_size 122.595688671515
12 2 61 P F 47.35 9.31 optic_size 123.907656182099
12 2 63 P F 43.3 8.4 optic_size 96.4502362099848
12 2 67 P F 42.5 8.55 optic_size 118.889893231222
12 2 72 P M 39.22 7.18 optic_size 86.9546123733713
12 2 74 P F 36.79 7.38 optic_size 78.4162020000001
12 2 75 P F 37.09 7.4 optic_size 63.7969807216859
12 2 76 P M 47.59 8.9 optic_size 77.6611789835021
12 2 80 P M 49.51 9.43 optic_size 114.268280318147
12 2 88 P F 39.77 7.67 optic_size 55.4194082683114
12 2 89 P M 40.42 7.82 optic_size 92.3561850918777
12 2 91 P M 44.65 8.66 optic_size 112.05356916502
12 2 92 P M 36.79 6.95 optic_size 46.8246568324748
12 2 93 P F 47.05 9.85 optic_size 77.1301814354291
12 2 94 P M 45.91 8.59 optic_size 69.061694896213
12 2 96 P M 51.61 9.37 optic_size 60.4989759842409
12 2 100 P M 37.64 7.09 optic_size 98.0897657863217
13 7 54 P F 38.7 7.96 optic_size 71.6143827729678
13 7 58 P F 38.18 8.13 optic_size 76.635166735282
13 7 61 P F 39.22 7.57 optic_size 68.853368085243
13 7 64 P M 35.13 7.19 optic_size 91.1911325219946
13 7 67 P F 30.98 6.16 optic_size 49.5158788610965
13 7 69 P M 44.64 9.51 optic_size 67.2625586208118
13 7 71 P M 43.14 9.17 optic_size 76.1458503807589
13 7 79 P M 62.37 12.67 optic_size 42.547766797049
13 7 80 P F 46.61 9.71 optic_size 89.9549379373659
